Query,Genus/Species,Nucleotide_acc,Protein_acc,start,end,dir,PfamID1,Name1,Description1,E-value1,PfamID2,Name2,Description2,E-value2,PfamID3,Name3,Description3,E-value3,,,,,,,,
WP_144862985.1,Hyella patelloides LEGE 07179,NZ_LR213766.1,WP_144862863.1,1875,276,-,PF01551,Peptidase_M23,Peptidase family M23,1.70E-36,PF01476,LysM,LysM domain,3.40E-11,,,,,,,,,,,,
WP_144862985.1,Hyella patelloides LEGE 07179,NZ_LR213766.1,WP_144862865.1,2650,2176,-,PF00588,SpoU_methylase,SpoU rRNA Methylase family,3.30E-33,,,,,,,,,,,,,,,,
WP_144862985.1,Hyella patelloides LEGE 07179,NZ_LR213766.1,WP_144862867.1,3864,2718,-,PF04107,GCS2,Glutamate-cysteine ligase family 2(GCS2),2.70E-61,,,,,,,,,,,,,,,,
WP_144862985.1,Hyella patelloides LEGE 07179,NZ_LR213766.1,WP_144862869.1,4251,3978,-,PF13808,DDE_Tnp_1_assoc,DDE_Tnp_1-associated,1.00E-13,,,,,,,,,,,,,,,,
WP_144862985.1,Hyella patelloides LEGE 07179,NZ_LR213766.1,WP_144862871.1,4676,5504,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.50E-09,,,,,,,,,,,,,,,,
WP_144862985.1,Hyella patelloides LEGE 07179,NZ_LR213766.1,WP_144862985.1,5522,6302,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.20E-19,PF03950,tRNA-synt_1c_C,"tRNA synthetases class I (E and Q), anti-codon binding domain",0.00022,,,,,,,,,,,,
WP_144862985.1,Hyella patelloides LEGE 07179,NZ_LR213766.1,WP_144862873.1,7760,6518,-,PF01494,FAD_binding_3,FAD binding domain,7.40E-36,PF05834,Lycopene_cycl,Lycopene cyclase protein,6.50E-11,PF07992,Pyr_redox_2,Pyridine nucleotide-disulphide oxidoreductase,5.50E-08,PF01266,DAO,FAD dependent oxidoreductase,4.40E-06,PF08491,SE,Squalene epoxidase,1.50E-05
WP_144862985.1,Hyella patelloides LEGE 07179,NZ_LR213766.1,WP_144862875.1,9476,7853,-,PF00009,GTP_EFTU,Elongation factor Tu GTP binding domain,4.80E-54,PF16658,RF3_C,"Class II release factor RF3, C-terminal domain",1.40E-45,PF01926,MMR_HSR1,50S ribosome-binding GTPase,1.20E-06,PF03144,GTP_EFTU_D2,Elongation factor Tu domain 2,1.70E-05,PF14492,EFG_III,"Elongation Factor G, domain III",6.10E-05
WP_144862985.1,Hyella patelloides LEGE 07179,NZ_LR213766.1,WP_144862877.1,10713,9855,-,PF00515,TPR_1,Tetratricopeptide repeat,3.30E-50,PF07719,TPR_2,Tetratricopeptide repeat,2.30E-39,PF13414,TPR_11,TPR repeat,1.70E-35,PF13181,TPR_8,Tetratricopeptide repeat,7.50E-34,PF13431,TPR_17,Tetratricopeptide repeat,2.10E-27
WP_144862985.1,Hyella patelloides LEGE 07179,NZ_LR213766.1,WP_144862879.1,10962,11988,+,,,,,,,,,,,,,,,,,,,,
WP_144862985.1,Hyella patelloides LEGE 07179,NZ_LR213766.1,WP_144862881.1,12212,13430,+,PF05626,DUF790,Protein of unknown function (DUF790),1.70E-149,,,,,,,,,,,,,,,,
WP_172185789.1,Microcoleus sp. IPMA8,NZ_SRRZ01000010.1,WP_172185781.1,25317,26031,+,PF01467,CTP_transf_like,Cytidylyltransferase-like,1.10E-21,,,,,,,,,,,,,,,,
WP_172185789.1,Microcoleus sp. IPMA8,NZ_SRRZ01000010.1,WP_172185783.1,26228,27248,+,PF02800,Gp_dh_C,"Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain",6.50E-68,PF00044,Gp_dh_N,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain",3.90E-33,,,,,,,,,,,,
WP_172185789.1,Microcoleus sp. IPMA8,NZ_SRRZ01000010.1,WP_172185785.1,27669,28629,+,PF16363,GDP_Man_Dehyd,"GDP-mannose 4,6 dehydratase",8.60E-105,PF01370,Epimerase,NAD dependent epimerase/dehydratase family,1.20E-55,PF04321,RmlD_sub_bind,RmlD substrate binding domain,7.30E-05,,,,,,,,
WP_172185789.1,Microcoleus sp. IPMA8,NZ_SRRZ01000010.1,WP_007354362.1,28718,29067,+,,,,,,,,,,,,,,,,,,,,
WP_172185789.1,Microcoleus sp. IPMA8,NZ_SRRZ01000010.1,WP_172185787.1,29241,29433,+,,,,,,,,,,,,,,,,,,,,
WP_172185789.1,Microcoleus sp. IPMA8,NZ_SRRZ01000010.1,WP_172185789.1,29445,34491,+,PF04577,DUF563,Protein of unknown function (DUF563),1.30E-49,PF05050,Methyltransf_21,Methyltransferase FkbM domain,5.90E-40,PF00515,TPR_1,Tetratricopeptide repeat,9.10E-33,PF07719,TPR_2,Tetratricopeptide repeat,1.30E-31,PF13414,TPR_11,TPR repeat,1.50E-27
WP_172185789.1,Microcoleus sp. IPMA8,NZ_SRRZ01000010.1,WP_172185791.1,34786,34951,+,,,,,,,,,,,,,,,,,,,,
WP_172185789.1,Microcoleus sp. IPMA8,NZ_SRRZ01000010.1,WP_172185793.1,35093,36833,+,,,,,,,,,,,,,,,,,,,,
WP_172185789.1,Microcoleus sp. IPMA8,NZ_SRRZ01000010.1,WP_172185795.1,36889,37723,+,PF08241,Methyltransf_11,Methyltransferase domain,2.80E-07,PF13489,Methyltransf_23,Methyltransferase domain,1.40E-06,PF13649,Methyltransf_25,Methyltransferase domain,0.00012,,,,,,,,
WP_172185789.1,Microcoleus sp. IPMA8,NZ_SRRZ01000010.1,WP_172185797.1,37779,39036,+,PF00534,Glycos_transf_1,Glycosyl transferases group 1,2.80E-16,PF13692,Glyco_trans_1_4,Glycosyl transferases group 1,1.10E-06,,,,,,,,,,,,
WP_172185789.1,Microcoleus sp. IPMA8,NZ_SRRZ01000010.1,WP_172185799.1,39103,40357,+,PF00534,Glycos_transf_1,Glycosyl transferases group 1,3.40E-16,PF13692,Glyco_trans_1_4,Glycosyl transferases group 1,6.10E-08,,,,,,,,,,,,
WP_007309624.1,Crocosphaera watsonii WH 8501,NZ_AADV02000002.1,WP_007304245.1,594610,595843,+,PF00155,Aminotran_1_2,Aminotransferase class I and II,1.20E-41,PF01041,DegT_DnrJ_EryC1,DegT/DnrJ/EryC1/StrS aminotransferase family,5.00E-10,,,,,,,,,,,,
